name,TE,WR,RB,QB,teamplace20,teamplace19,team21,pos21,gp_21,points21,owned22,projected22,actual21,passyd_21,passtds21,int21,runyds21,runtds21,run1st21,rec21,recyds21,rectds21,pass1st21,returnyds21,returntds21,twopoint21,fumble21,pick21,salary21,gp20,points20,owners21,project21,actual20,passyds20,passtd20,passint20,rushyds20,rushtd20,rush1st20,recepts20,recyds20,rectd20,rec1st20,returnyds20,returntd20,pt20,fumble20,pick20,salary20,gp19,points19,owners20,project20,actual19,passyds19,passtd19,passint19,rushyds19,rushtd19,rush1st19,recepts19,recyds19,rectd19,rec1st19,returnyds19,returntd19,pt19,fumble19,pick19,salary19
Darrel Williams,0,0,1,0,,,Ari,RB,17,243.92999,17%,177,79,0,0,0,558,6,40,47,452,2,19,0,0,0,0,,,16,68.629997,12,166,327,0,0,0,169,1,14,18,116,0,6,0,0,1,0,,,12,77.230003,2,-,305,0,0,0,141,3,12,15,167,1,7,0,0,0,1,,
DeAndre Hopkins,0,1,0,0,,,Ari,WR,10,176.13,83%,116,148,0,0,0,0,0,0,42,572,8,32,0,0,0,0,29,47,16,327.89999,100,21,18,0,0,0,1,0,0,115,1407,6,75,0,0,0,2,24,36,15,313.70999,100,-,16,6,1,1,18,0,2,104,1165,7,68,0,0,1,0,22,56
A.J. Green,0,1,0,0,,,Ari,WR,16,171.53,7%,255,158,0,0,0,0,0,0,54,848,3,37,0,0,0,0,,,16,131.87,17,248,200,0,0,0,0,0,0,47,523,2,34,0,0,0,0,67,13,,,,,,,,,,,,,,,,,,,,74,13
Colt McCoy,0,0,0,1,,,Ari,QB,8,47.299999,0%,2642,372,740,3,1,37,0,6,0,0,0,0,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rondale Moore,0,1,0,0,,,Ari,WR,14,162.8,31%,157,172,0,0,0,76,0,2,54,435,1,18,462,0,0,1,147,1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Antoine Wesley,0,1,0,0,,,Ari,WR,15,65.870003,0%,1852,334,0,0,0,0,0,0,19,208,3,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zach Ertz,1,0,0,0,,,Ari,TE,17,205.27,93%,94,113,0,0,0,4,0,0,74,763,5,40,0,0,0,0,190,1,11,84.330002,29,202,295,0,0,0,0,0,0,36,335,1,16,0,0,1,0,74,20,15,247.07001,100,-,64,0,0,0,0,0,0,88,916,6,50,0,0,1,1,31,31
Kyler Murray,0,0,0,1,,,Ari,QB,14,325.25,99%,71,23,3787,24,10,423,5,25,0,7,0,0,0,0,0,0,54,40,16,408.73999,100,56,4,3971,26,12,819,11,52,0,0,0,0,0,0,0,4,36,38,16,304.28,99,-,21,3722,20,12,544,4,27,0,0,0,0,0,0,3,2,36,32
Marquise Brown,0,1,0,0,,,Ari,WR,16,246.7,92%,64,74,0,0,0,5,0,1,91,1008,6,41,0,0,0,1,195,1,16,211.37,70,105,90,0,0,0,1,0,0,58,769,8,35,30,0,0,0,98,10,14,164.92999,93,-,150,0,0,0,0,0,0,46,584,7,24,0,0,0,0,154,2
Eno Benjamin,0,0,1,0,,,Ari,RB,9,50.799999,3%,184,366,0,0,0,118,1,4,6,42,0,4,162,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Stephen Anderson,0,0,0,0,,,Ari,TE,17,44,0%,2053,384,0,0,0,0,0,0,16,165,1,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
James Conner,0,0,1,0,,,Ari,RB,15,322.20001,98%,33,26,0,0,0,752,15,53,37,375,3,18,0,0,0,0,19,7,13,197.42999,82,100,103,0,0,0,721,6,42,35,215,0,10,0,0,0,0,46,20,10,175.13,98,-,138,0,0,0,464,4,26,34,251,3,14,0,0,0,1,57,49
Maxx Williams,1,0,0,0,,,Ari,TE,5,45.869999,0%,328,379,0,0,0,0,0,0,16,193,1,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,16,47.470001,0,-,364,0,0,0,0,0,0,15,202,1,11,0,0,0,0,,
Cordarrelle Patterson,0,0,1,0,,,Atl,RB,16,324.73001,88%,88,24,0,0,0,618,6,29,52,548,5,26,434,0,0,0,,,16,181.7,3,2269,120,0,0,0,232,1,12,21,132,0,7,1017,1,0,0,159,1,16,120.33,1,-,216,0,0,0,103,0,4,11,83,0,3,825,1,0,0,,
Olamide Zaccheaus,0,1,0,0,,,Atl,WR,17,112.97,0%,1884,252,0,0,0,2,0,1,31,406,3,22,77,0,0,0,,,11,62.27,1,1959,346,0,0,0,0,0,0,20,274,1,16,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,
Damien Williams,0,0,1,0,,,Atl,RB,12,73.269997,1%,2059,320,0,0,0,164,2,11,16,103,1,3,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,11,160,28,-,156,0,0,0,498,5,22,30,213,2,10,0,0,0,1,75,34
Kyle Pitts,1,0,0,0,,,Atl,TE,17,187.39999,100%,40,129,0,0,0,0,0,0,68,1026,1,43,0,0,0,0,58,21,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Bryan Edwards,0,1,0,0,,,Atl,WR,16,122.07,2%,274,236,0,0,0,0,0,0,34,571,3,26,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Damiere Byrd,0,1,0,0,,,Atl,WR,17,73.93,0%,1875,315,0,0,0,0,0,0,26,329,1,18,0,0,1,1,,,16,126.77,1,1781,214,0,0,0,15,0,1,47,604,1,29,0,0,0,0,,,11,83.830002,0,-,293,0,0,0,0,0,0,32,359,1,16,59,0,0,1,,
Calvin Ridley,0,1,0,0,,,Atl,WR,5,81.730003,2%,322,298,0,0,0,0,0,0,31,281,2,16,0,0,0,0,64,37,15,319.70001,100,14,22,0,0,0,1,0,1,90,1374,9,65,0,0,1,1,70,20,13,231.13,97,-,81,0,0,0,34,0,2,63,866,7,47,0,0,1,0,104,15
Anthony Firkser,1,0,0,0,,,Atl,TE,15,86.400002,0%,1849,292,0,0,0,0,0,0,34,291,2,15,0,0,0,1,,,16,98.800003,34,142,270,0,0,0,0,0,0,39,387,1,26,0,0,0,0,,,15,44.599998,0,-,375,0,0,0,0,0,0,14,204,1,9,0,0,0,0,,
Devin Duvernay,0,1,0,0,,,Bal,WR,16,196.73,7%,2047,120,0,0,0,50,0,3,33,272,2,14,1036,0,0,0,,,16,117.8,1,2286,228,0,0,0,70,0,3,20,201,0,8,624,1,0,0,,,,,,,,,,,,,,,,,,,,,,,
Mike Davis,0,0,1,0,,,Bal,RB,17,164.57001,3%,212,168,0,0,0,503,3,21,44,259,1,12,0,0,0,3,122,13,15,241.07001,92,60,60,0,0,0,642,6,38,59,373,2,17,0,0,0,1,,,,,,,,,,,,,,,,,,,,,,184,1
Lamar Jackson,0,0,0,1,,,Bal,QB,12,287.98001,100%,48,43,2882,16,13,767,2,48,0,0,0,0,0,0,2,3,41,49,15,374.78,99,46,12,2757,26,9,1005,7,56,0,0,0,0,0,0,1,4,22,59,15,472.67999,100,-,2,3127,36,6,1206,7,71,0,0,0,0,0,0,0,2,59,27
Tyler Huntley,0,0,0,1,,,Bal,QB,7,104.64,1%,2068,261,1081,3,4,294,2,22,0,0,0,0,0,0,0,3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Devonta Freeman,0,0,1,0,,,Bal,RB,16,182.27,0%,331,139,0,0,0,576,5,31,34,190,1,9,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,14,235.92999,30,-,76,0,0,0,656,2,31,59,410,4,17,0,0,0,2,102,30
Mark Andrews,1,0,0,0,,,Bal,TE,17,348.73001,100%,24,15,0,0,0,0,0,0,107,1361,9,75,0,0,2,0,62,26,14,197.73,99,61,102,0,0,0,0,0,0,58,701,7,37,0,0,0,0,102,27,15,242.8,100,-,67,0,0,0,0,0,0,64,852,10,44,0,0,0,1,144,2
Latavius Murray,0,0,1,0,,,Bal,RB,14,139.10001,0%,336,215,0,0,0,501,6,36,10,75,0,2,0,0,0,0,98,3,15,168.33,56,115,145,0,0,0,656,4,36,23,176,1,8,0,0,0,0,185,1,16,188.37,66,-,123,0,0,0,637,5,38,34,235,1,9,0,0,0,0,123,11
James Proche II,0,1,0,0,,,Bal,WR,14,41.669998,1%,2306,388,0,0,0,0,0,0,16,202,0,10,22,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Rashod Bateman,0,1,0,0,,,Bal,WR,12,117.33,90%,67,244,0,0,0,0,0,0,46,515,1,29,0,0,0,0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
Zack Moss,0,0,1,0,,,Buf,RB,13,134.63,2%,339,225,0,0,0,345,4,22,23,197,1,12,0,0,0,1,167,2,13,127.43,85,98,212,0,0,0,481,4,30,14,95,1,5,0,0,0,0,161,1,,,,,,,,,,,,,,,,,,,,,
Cole Beasley,0,1,0,0,13,,Buf,WR,16,172.2,1%,326,156,0,0,0,0,0,0,82,693,1,34,0,0,1,0,137,1,15,236.27,52,146,63,20,1,0,0,0,0,82,967,4,53,0,0,0,0,,,15,207.87,9,-,106,0,0,0,0,0,0,67,778,6,37,0,0,2,0,,
